Gage,   Filename,  Threshold, WaterYear, WaterYearType,   +Oct, +Nov, +Dec, +Jan, +Feb, +Mar, +Apr, +May, +Jun, +Jul, +Aug, +Sep,     -Oct, -Nov, -Dec, -Jan, -Feb, -Mar, -Apr, -May, -Jun, -Jul, -Aug, -Sep
17,  ALP.gg18,      1.00,       1992,   Normal,     30,   30,   31,   31,   29,   31,   30,   31,   30,   31,   31,   30,        0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
17,  ALP.gg18,      1.00,       1993,   Wet,     31,   30,   31,   31,   28,   31,   30,   31,   30,   31,   31,   30,        0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
17,  ALP.gg18,      1.00,       1994,   Dry,     31,   30,   31,   31,   28,   31,   30,   31,   30,   31,   31,   30,        0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
17,  ALP.gg18,      1.00,       1995,   Extremely Wet,     31,   30,   31,   31,   28,   31,   30,   31,   30,   31,   31,   30,        0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
17,  ALP.gg18,      1.00,       1996,   Wet,     31,   30,   31,   31,   29,   31,   30,   31,   30,   31,   31,   30,        0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
17,  ALP.gg18,      1.00,       1997,   Above Normal,     31,   30,   31,   31,   28,   31,   30,   31,   30,   31,   31,   30,        0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
17,  ALP.gg18,      1.00,       1998,   Extremely Wet,     31,   30,   31,   31,   28,   31,   30,   31,   30,   31,   31,   30,        0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
17,  ALP.gg18,      1.00,       1999,   Normal,     31,   30,   31,   31,   28,   31,   30,   31,   30,   31,   31,   30,        0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
17,  ALP.gg18,      1.00,       2000,   Above Normal,     31,   30,   31,   31,   29,   31,   30,   31,   30,   31,   31,   30,        0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
17,  ALP.gg18,      1.00,       2001,   Normal,     31,   30,   31,   31,   28,   31,   30,   31,   30,   31,   31,   30,        0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
17,  ALP.gg18,      1.00,       2002,   Below Normal,     31,   30,   31,   31,   28,   31,   30,   31,   30,   31,   31,   30,        0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
